name,age_group,ethnicity,experience,qualification_score,decision
Matthew Ward,36-45,South Asian,18.2,83.8,Accepted
Don Meyer,56+,Hispanic,5.4,97.9,Accepted
Jessica Cruz,36-45,African American,10.1,85.0,Rejected
Jacob Mccarty,18-25,African American,3.3,70.0,Rejected
David Martin,26-35,Hispanic,12.5,66.4,Rejected
Todd Harvey,18-25,East Asian,11.0,73.5,Rejected
Jose Andrews,18-25,South Asian,9.6,98.1,Accepted
Mark Smith,26-35,African American,2.1,95.0,Accepted
Debbie Smith,56+,South Asian,5.2,86.9,Accepted
Leah Cunningham,46-55,African American,1.7,97.2,Accepted
Kerri Rogers,26-35,Hispanic,18.2,82.6,Rejected
Andrea Wright,56+,South Asian,8.0,71.8,Rejected
Gina Estes,26-35,South Asian,7.5,69.3,Rejected
Wesley Savage,18-25,South Asian,9.7,83.2,Accepted
Adam Griffin,18-25,African American,7.4,74.7,Rejected
Lisa Pierce,26-35,African American,10.3,72.8,Rejected
Amanda Brooks,46-55,Hispanic,8.8,80.3,Rejected
John Brown,18-25,Caucasian,5.5,89.8,Accepted
Robert Johnson,26-35,East Asian,11.2,97.0,Accepted
Kristen Salazar,26-35,South Asian,4.1,70.6,Rejected
Trevor Smith,36-45,East Asian,7.5,93.4,Accepted
Shelby Miller,46-55,African American,11.7,72.0,Rejected
April Johnson,46-55,South Asian,10.8,94.5,Accepted
Jocelyn Greer,26-35,Middle Eastern,12.7,98.9,Accepted
Erica Banks,18-25,Caucasian,15.7,90.1,Accepted
Clayton Davis,56+,Hispanic,14.6,79.4,Rejected
Patrick Lawrence,36-45,East Asian,10.4,65.2,Rejected
Andrea Harris,36-45,South Asian,10.4,96.4,Accepted
Vanessa Miller,46-55,East Asian,12.3,82.0,Rejected
Kenneth Rojas,46-55,South Asian,18.1,89.1,Accepted
Daniel Gonzales Jr.,26-35,Hispanic,13.3,66.4,Rejected
Jessica Armstrong,18-25,African American,2.1,75.2,Rejected
Angela Hayden,46-55,African American,19.7,66.5,Rejected
Brenda Best,26-35,African American,2.5,75.1,Rejected
Amanda Villa,56+,Caucasian,15.8,98.7,Accepted
David Jones,26-35,African American,7.7,74.9,Rejected
Heather Pena,26-35,East Asian,6.3,91.2,Accepted
Richard Wang,36-45,East Asian,5.2,97.3,Accepted
Emily Nicholson,56+,Hispanic,8.4,82.8,Rejected
Sergio Wong,26-35,Hispanic,4.4,78.7,Rejected
Donald Jenkins,18-25,South Asian,12.3,69.2,Rejected
Mrs. Elizabeth Williams MD,36-45,African American,9.9,75.8,Rejected
Megan Flores,46-55,Middle Eastern,12.0,95.0,Accepted
Angela Lee,36-45,South Asian,6.4,86.7,Accepted
Jessica Johnson,46-55,Middle Eastern,17.6,73.8,Rejected
Craig Davis,36-45,Middle Eastern,8.8,83.6,Rejected
Desiree Carpenter,46-55,African American,5.9,74.6,Rejected
Bianca Lewis,18-25,East Asian,13.3,75.6,Rejected
Deborah Cole,26-35,South Asian,13.7,91.7,Accepted
Shelley Mosley,46-55,Caucasian,17.3,82.5,Rejected
Lori King,46-55,Middle Eastern,16.4,78.3,Rejected
Stephanie Compton,36-45,Middle Eastern,8.7,85.4,Rejected
Benjamin Lopez,26-35,East Asian,16.3,95.1,Accepted
Tiffany Brandt,46-55,South Asian,1.9,69.9,Rejected
Kimberly Davis,36-45,Caucasian,12.8,94.9,Accepted
Mrs. Nicole Lee,36-45,African American,5.2,82.7,Rejected
Alexis Douglas,26-35,Middle Eastern,8.8,73.6,Rejected
Paul Warren,56+,Hispanic,7.7,90.9,Rejected
Nicholas Robinson,36-45,Middle Eastern,15.9,69.2,Rejected
Robin Nelson,36-45,East Asian,8.8,71.1,Rejected
Steven Benitez,18-25,South Asian,6.8,91.4,Accepted
Gregory Schmidt,36-45,Middle Eastern,1.2,77.7,Rejected
Zachary Malone,46-55,Hispanic,16.5,91.6,Accepted
James Foster,36-45,Hispanic,9.9,92.5,Accepted
Daniel Murphy,46-55,Hispanic,7.3,72.0,Rejected
Phyllis Freeman,46-55,East Asian,7.9,74.9,Rejected
Kyle Bowen,18-25,South Asian,15.3,66.1,Rejected
Danielle Allen,26-35,Caucasian,4.9,82.6,Accepted
Stephanie Smith,26-35,South Asian,6.1,81.6,Accepted
John Munoz,36-45,Hispanic,12.9,92.3,Accepted
Deborah Estrada,26-35,Hispanic,14.1,85.2,Rejected
Vickie Ramirez,46-55,African American,17.6,90.1,Rejected
Elizabeth Reynolds,56+,Middle Eastern,19.2,69.6,Rejected
Antonio Wells,56+,East Asian,14.9,85.8,Accepted
Corey Warren,18-25,Caucasian,10.1,74.0,Rejected
Andrew Anderson,46-55,Caucasian,16.9,89.1,Accepted
Debra Hill,36-45,African American,16.7,88.6,Accepted
Brian Gonzalez,18-25,Middle Eastern,16.3,75.0,Rejected
Jeremiah Ferguson,18-25,East Asian,17.0,89.5,Accepted
Edward Anderson,18-25,East Asian,3.1,80.5,Accepted
Mary Williams,46-55,Hispanic,10.4,80.5,Rejected
Brenda Fritz,56+,Hispanic,19.4,98.0,Accepted
Cheryl Mills,56+,Middle Eastern,13.6,77.4,Rejected
Cory Roman,36-45,East Asian,1.8,73.0,Rejected
Kim Rogers,56+,Middle Eastern,8.8,67.0,Rejected
Michael Kemp,18-25,African American,16.8,95.4,Accepted
Maria Booth,36-45,South Asian,1.4,65.9,Rejected
Anna Clarke,18-25,Caucasian,10.3,97.1,Accepted
Isaac Stout DDS,26-35,Caucasian,3.9,81.4,Accepted
Erika Garcia,46-55,Caucasian,2.5,97.6,Accepted
Linda Reynolds,26-35,Caucasian,17.7,82.8,Accepted
Jesus Clark,56+,Middle Eastern,15.7,96.2,Accepted
Anna Adkins,36-45,Hispanic,15.4,67.7,Rejected
Tina Butler,56+,East Asian,3.3,73.2,Rejected
Tyler Ortiz,56+,East Asian,2.1,97.2,Accepted
Steven Kelly,36-45,African American,8.7,98.8,Accepted
Brenda Rodriguez,18-25,South Asian,8.7,75.5,Rejected
Kevin Bryant,56+,Hispanic,1.6,75.3,Rejected
Kenneth Gonzalez,56+,Hispanic,2.9,77.9,Rejected
Kyle Key,26-35,Caucasian,8.4,93.0,Accepted
Stephen Valencia,36-45,Hispanic,9.3,72.6,Rejected
Richard Wright,18-25,Hispanic,1.6,92.5,Accepted
Caroline Harding,46-55,Middle Eastern,9.3,98.1,Accepted
Caitlin Lambert,26-35,Caucasian,20.0,66.3,Rejected
Jeremy Douglas,26-35,Caucasian,12.9,65.0,Rejected
Kathleen Dunn,26-35,Hispanic,15.4,97.9,Accepted
Nicholas Williams,56+,Caucasian,8.5,70.5,Rejected
Randy Benson,36-45,South Asian,16.0,84.6,Accepted
Calvin White,18-25,Caucasian,10.7,83.0,Accepted
Amber Miller,56+,Middle Eastern,12.3,98.6,Accepted
Alyssa Farrell,36-45,Hispanic,13.5,65.0,Rejected
Stacey Anderson,36-45,South Asian,16.2,73.4,Rejected
Michael Smith,26-35,East Asian,12.0,73.1,Rejected
Tiffany Mcdowell,26-35,Caucasian,1.4,70.8,Rejected
Patricia Manning,46-55,Middle Eastern,5.6,79.2,Rejected
Michael Oliver,18-25,East Asian,5.0,75.8,Rejected
Ryan Foley,18-25,Middle Eastern,8.9,65.2,Rejected
Mike Forbes,18-25,Middle Eastern,17.8,85.9,Rejected
Sean Dudley,56+,Caucasian,19.5,67.5,Rejected
Shawn Francis,36-45,Caucasian,4.3,98.7,Accepted
Adam Hayes,26-35,Caucasian,4.1,84.9,Accepted
Brandon Johnson,18-25,Middle Eastern,8.7,75.8,Rejected
Jackson Keller,36-45,South Asian,1.1,84.2,Accepted
Jennifer Floyd,56+,African American,13.8,88.7,Rejected
Aaron Watkins,36-45,African American,18.7,93.4,Accepted
Laura Cox,56+,Caucasian,18.9,77.9,Rejected
Katherine Ward,26-35,East Asian,11.4,79.6,Rejected
Ellen Franklin,18-25,Middle Eastern,19.9,98.8,Accepted
Breanna Edwards,56+,South Asian,4.6,74.4,Rejected
Tanya Turner,18-25,African American,1.7,66.7,Rejected
Nicole Page,36-45,Hispanic,18.5,66.1,Rejected
Matthew Armstrong,36-45,African American,11.8,97.4,Accepted
Kathleen Hall,26-35,South Asian,2.8,69.0,Rejected
Valerie Underwood,46-55,South Asian,11.9,72.9,Rejected
Susan Robinson,56+,Middle Eastern,4.4,65.1,Rejected
Elizabeth Hudson,26-35,African American,6.0,75.5,Rejected
James Jennings,18-25,African American,18.7,94.7,Accepted
Patrick Martin,56+,African American,4.9,80.6,Rejected
Paul Pierce,26-35,Middle Eastern,4.5,82.4,Rejected
Alison Ray,56+,African American,19.8,91.1,Accepted
Jennifer Garcia,56+,African American,15.5,83.1,Rejected
Donald Williams,36-45,East Asian,7.8,68.0,Rejected
Janet Harris,26-35,Caucasian,13.2,94.9,Accepted
Stacey Burke,36-45,South Asian,5.1,94.4,Accepted
Matthew Nichols,56+,South Asian,17.0,91.9,Accepted
William Hamilton,18-25,Hispanic,9.5,71.2,Rejected
Kyle Garrett,18-25,Hispanic,12.8,76.4,Rejected
Diana Fisher,46-55,Caucasian,14.3,87.7,Accepted
Gary Smith,18-25,Middle Eastern,3.9,96.1,Accepted
Kaylee Moody,18-25,East Asian,18.3,82.5,Accepted
Aaron Castro,26-35,East Asian,8.4,85.9,Accepted
Rebecca Williams,26-35,African American,5.4,79.2,Rejected
Jacqueline Fuentes,26-35,Middle Eastern,11.3,90.1,Accepted
Richard Phillips,46-55,Hispanic,4.7,67.5,Rejected
Matthew Day,56+,African American,11.5,73.1,Rejected
Tiffany Moore,36-45,Hispanic,14.8,72.3,Rejected
Robert Williams,46-55,South Asian,16.7,98.2,Accepted
Angelica Morris,18-25,South Asian,7.5,77.4,Rejected
Stacey Choi,18-25,African American,10.9,87.3,Rejected
Nathan Long,46-55,East Asian,10.3,81.2,Rejected
Angela Shelton,36-45,South Asian,17.8,98.5,Accepted
Karla Russell,36-45,African American,9.5,73.8,Rejected
Sabrina Reed,26-35,African American,3.0,68.1,Rejected
Victoria Cardenas,56+,South Asian,10.4,80.3,Rejected
John Gonzalez,26-35,Middle Eastern,19.5,73.8,Rejected
Sean Adams,36-45,South Asian,2.1,70.4,Rejected
Desiree Hawkins,46-55,Middle Eastern,13.9,70.4,Rejected
Shannon Powell,56+,East Asian,2.6,84.9,Accepted
Heather Fox,56+,Hispanic,5.9,65.8,Rejected
Teresa Miller,36-45,East Asian,5.6,88.5,Accepted
Nicole Mcmillan,36-45,South Asian,7.6,80.3,Accepted
Johnny Green,26-35,South Asian,2.1,66.5,Rejected
Amber Lawson,36-45,Middle Eastern,7.8,65.4,Rejected
Mr. Alejandro Robertson,26-35,Middle Eastern,18.6,67.1,Rejected
Daniel Roberts,18-25,Hispanic,5.8,93.8,Accepted
Brad Anderson,18-25,South Asian,4.8,89.9,Accepted
Debra Ramirez,26-35,East Asian,16.2,75.4,Rejected
Michelle Owen,18-25,Middle Eastern,8.8,70.5,Rejected
Joseph Frank,46-55,Caucasian,14.8,67.6,Rejected
Bradley Morales,26-35,South Asian,7.4,91.3,Accepted
Emily Campos,26-35,Hispanic,8.5,81.9,Rejected
Robert Carlson,56+,Hispanic,7.9,93.9,Accepted
Natalie Roy MD,36-45,African American,5.0,92.5,Accepted
Wanda Lozano,18-25,Hispanic,13.9,74.4,Rejected
Danny Yoder,36-45,Caucasian,13.5,83.1,Accepted
Dr. Miranda Thompson,26-35,East Asian,17.5,88.0,Accepted
Shawn Smith,36-45,African American,7.4,75.6,Rejected
Lisa Mendez,56+,Caucasian,2.7,70.5,Rejected
Kimberly Manning,18-25,Caucasian,6.5,97.0,Accepted
Joy Williams,56+,South Asian,10.3,71.6,Rejected
Elizabeth Jones,36-45,Middle Eastern,10.3,95.6,Accepted
Patricia Kirby,56+,South Asian,16.7,96.1,Accepted
Nicholas Miller,46-55,East Asian,4.2,98.7,Accepted
Drew Davidson,46-55,Caucasian,10.5,70.2,Rejected
David Cole,26-35,Hispanic,13.2,66.1,Rejected
David Reed,46-55,Middle Eastern,12.7,76.7,Rejected
Christopher Solis,18-25,South Asian,15.1,69.5,Rejected
Cheryl Blair,36-45,Middle Eastern,15.4,77.1,Rejected
Tara King,46-55,Hispanic,3.6,91.0,Accepted
Stephanie Farley,36-45,East Asian,7.3,96.9,Accepted
Roy Lopez,36-45,South Asian,18.6,97.0,Accepted
Samuel Parker,46-55,East Asian,14.0,71.5,Rejected
Michael Hernandez,36-45,South Asian,15.3,84.4,Accepted
David Bush,36-45,Hispanic,12.3,96.6,Accepted
Samantha Ward,46-55,Hispanic,18.3,90.7,Rejected
Rebecca Brown,56+,Caucasian,9.4,85.6,Accepted
Laura Davies,18-25,Caucasian,19.5,68.2,Rejected
Jessica Holland,18-25,African American,7.5,97.0,Accepted
Carol Tapia,18-25,African American,12.6,90.3,Accepted
Laura Shields,36-45,Hispanic,12.0,93.7,Accepted
David Flores,36-45,Hispanic,10.9,78.6,Rejected
Christopher Moore,26-35,Hispanic,15.9,79.5,Rejected
Alexandria Powell,36-45,Hispanic,11.6,75.9,Rejected
Nicole Smith,18-25,African American,15.8,85.7,Rejected
Pamela Martin,18-25,South Asian,9.5,95.6,Accepted
Mary Jackson,36-45,Hispanic,8.6,90.4,Accepted
Kayla Stewart,26-35,Middle Eastern,6.7,77.8,Rejected
Matthew Pacheco,56+,Middle Eastern,12.0,89.8,Rejected
Rodney Jones,46-55,South Asian,16.0,80.7,Rejected
Elizabeth Cole,36-45,Caucasian,19.0,94.5,Accepted
Maria Reid,36-45,East Asian,1.5,95.3,Accepted
Melissa Kim,18-25,East Asian,17.8,78.5,Rejected
Jared Valencia,46-55,Caucasian,16.3,98.2,Accepted
Lauren Peterson,36-45,East Asian,8.6,76.6,Rejected
Tammy Rivas,18-25,Middle Eastern,5.3,71.8,Rejected
Jordan Rosales,26-35,Hispanic,18.8,73.0,Rejected
Donna Hernandez,26-35,Caucasian,11.8,80.7,Accepted
Paula Scott,46-55,Middle Eastern,12.7,85.5,Rejected
Diane Stewart,46-55,East Asian,6.4,67.4,Rejected
Aaron Frank,56+,Middle Eastern,16.4,79.4,Rejected
Kristin Cochran,56+,South Asian,11.0,88.5,Accepted
Kenneth Hurst,26-35,South Asian,12.0,95.8,Accepted
Christina George,46-55,African American,7.2,71.6,Rejected
Anthony Kim,46-55,Middle Eastern,2.0,84.9,Rejected
Jessica Torres,36-45,East Asian,9.7,88.5,Accepted
Lori Ellis,36-45,Hispanic,15.7,75.6,Rejected
Kimberly Jones,18-25,Hispanic,14.5,98.2,Accepted
David Adams,46-55,Middle Eastern,9.7,85.6,Rejected
Elizabeth Lam,56+,African American,10.3,91.7,Accepted
Darryl Taylor,46-55,Middle Eastern,7.6,83.2,Rejected
Amanda Clements,26-35,Caucasian,4.6,81.3,Accepted
Gina Smith,36-45,South Asian,13.5,84.0,Accepted
Andrew Palmer,36-45,South Asian,17.4,68.2,Rejected
Kayla Thompson,26-35,African American,16.3,77.6,Rejected
Edward Page,36-45,East Asian,2.8,97.1,Accepted
Jeremy Patel,18-25,East Asian,6.0,86.2,Accepted
David Reeves,26-35,African American,14.5,67.4,Rejected
Tyler Villarreal,26-35,Caucasian,13.4,72.9,Rejected
Michele Saunders,26-35,Hispanic,16.4,90.7,Accepted
Brian Smith,36-45,Middle Eastern,12.7,72.1,Rejected
Kimberly Horn,36-45,Hispanic,7.5,87.7,Rejected
David Rivera,56+,Middle Eastern,17.3,86.2,Rejected
Nicole Woodward,46-55,Hispanic,8.9,71.9,Rejected
Michele Griffin,26-35,Middle Eastern,8.7,70.9,Rejected
Douglas Smith,36-45,East Asian,6.2,76.1,Rejected
Lisa Davenport,56+,East Asian,4.3,67.4,Rejected
Sarah Wood,36-45,South Asian,15.9,68.7,Rejected
Peter Leach,26-35,East Asian,7.9,90.5,Accepted
Mary Clark,18-25,African American,17.2,85.4,Rejected
Brandon Beasley,56+,Caucasian,7.5,67.7,Rejected
John Bass,36-45,Hispanic,11.7,66.4,Rejected
Derek Miller,18-25,Caucasian,11.2,92.5,Accepted
James Williams,18-25,Hispanic,12.0,71.0,Rejected
Joseph Haynes,56+,East Asian,7.4,85.9,Accepted
Rebecca Miller,18-25,East Asian,13.1,79.2,Rejected
Kathleen Cole,56+,Middle Eastern,15.1,94.9,Accepted
Robert Scott,18-25,Caucasian,13.7,96.0,Accepted
Adam Pace,26-35,Caucasian,5.7,80.2,Accepted
Craig Abbott,56+,Caucasian,16.4,74.1,Rejected
Keith Lopez,56+,South Asian,5.2,71.3,Rejected
Gregory Banks,26-35,African American,16.6,79.8,Rejected
Jason Snyder,46-55,Middle Eastern,6.1,94.9,Accepted
Nicole Bolton,18-25,Hispanic,8.8,87.6,Rejected
Jessica Martin,18-25,Hispanic,1.8,69.2,Rejected
Joseph Davis,36-45,South Asian,17.8,74.4,Rejected
Kristin Townsend,56+,Caucasian,2.8,90.7,Accepted
Zachary Kirby,46-55,South Asian,3.9,91.8,Accepted
Peter Larsen,18-25,Hispanic,15.7,95.3,Accepted
Daniel Allen,26-35,Middle Eastern,11.9,74.1,Rejected
Theresa Smith,46-55,Hispanic,16.1,79.6,Rejected
David Wheeler,26-35,Caucasian,19.7,69.6,Rejected
Elizabeth Anderson,18-25,African American,19.9,69.6,Rejected
Jerry Khan,18-25,East Asian,2.5,69.2,Rejected
Jose Smith,26-35,South Asian,1.4,70.1,Rejected
Michael Hendricks,18-25,Middle Eastern,9.4,84.7,Rejected
Mary Rogers,46-55,Hispanic,15.6,83.2,Rejected
Robert Owens,18-25,South Asian,16.5,86.7,Accepted
Jeffery Taylor,56+,East Asian,7.2,66.2,Rejected
Kathy Williams,26-35,Middle Eastern,13.1,85.8,Rejected
Gary Chaney,36-45,South Asian,16.4,81.7,Accepted
Anthony Ruiz,56+,Middle Eastern,2.9,80.3,Rejected
Patrick Ortiz,46-55,Hispanic,14.4,86.1,Rejected
Samantha Webster,56+,South Asian,9.1,97.1,Accepted
Diane Walker,56+,African American,9.9,71.4,Rejected
Joseph Sanchez,36-45,African American,4.3,89.3,Accepted
Stephanie Lyons,18-25,East Asian,8.8,90.9,Accepted
Christina Campbell,46-55,Middle Eastern,8.2,91.6,Accepted
Nancy Jackson MD,18-25,Caucasian,17.0,87.2,Accepted
Thomas Peters,56+,Caucasian,4.0,85.6,Accepted
Jennifer Martinez,46-55,Hispanic,4.1,75.2,Rejected
Denise Morgan,26-35,Hispanic,16.5,71.1,Rejected
Mark Watts,18-25,African American,19.1,90.2,Accepted
Leslie Miller,18-25,South Asian,3.4,92.0,Accepted
Jonathan Hernandez,36-45,East Asian,13.7,95.8,Accepted
Katie Aguilar,36-45,African American,17.7,88.4,Accepted
Stephanie Watkins,56+,Hispanic,2.4,98.3,Accepted
Jeffery Reid,18-25,Hispanic,11.3,90.1,Accepted
Jennifer Cunningham,56+,East Asian,10.2,93.9,Accepted
Justin Parks,56+,Caucasian,11.9,98.4,Accepted
Katherine Pearson,36-45,African American,4.8,67.6,Rejected
Traci Bradley,56+,Hispanic,4.0,87.9,Rejected
Carol Lopez,36-45,African American,6.9,71.9,Rejected
Michael Middleton,26-35,African American,3.2,85.9,Rejected
Michael Schneider,36-45,South Asian,2.9,96.2,Accepted
Joseph Nelson,18-25,South Asian,10.8,91.3,Accepted
Karen Paul,18-25,Hispanic,17.0,80.3,Rejected
Cindy Guerrero,56+,African American,1.5,88.7,Rejected
Catherine Little,36-45,African American,9.7,68.3,Rejected
Tammy Whitaker,36-45,Caucasian,4.9,78.6,Rejected
Brian Mckinney,56+,African American,12.7,87.5,Rejected
Christopher Jones,46-55,East Asian,10.9,83.8,Accepted
Hannah Gonzalez,18-25,African American,7.4,77.6,Rejected
Mary Baker,26-35,African American,4.8,89.2,Accepted
Lawrence Watson,36-45,East Asian,15.0,68.8,Rejected
Kevin Patterson,46-55,African American,15.9,90.5,Rejected
Tiffany Mathews,46-55,Hispanic,5.3,94.8,Accepted
Charles West,56+,East Asian,11.2,65.6,Rejected
Vincent Miller,46-55,East Asian,10.8,82.5,Rejected
Ryan Lee,36-45,South Asian,15.1,84.7,Accepted
Melanie Johnson,56+,African American,11.7,79.2,Rejected
Sally Mitchell,18-25,African American,19.5,90.6,Accepted
Sarah Stewart,26-35,Hispanic,1.9,73.2,Rejected
Paul Hernandez,26-35,Middle Eastern,9.7,74.0,Rejected
Heather Pineda,18-25,South Asian,19.9,84.4,Accepted
Ruth Sanders,36-45,Middle Eastern,12.0,76.5,Rejected
Christina Roberts,46-55,Caucasian,16.3,89.3,Accepted
Natalie Simon,46-55,Middle Eastern,15.3,87.2,Rejected
Madison Butler,46-55,South Asian,8.5,79.6,Rejected
Dr. Michael Lindsey,56+,Middle Eastern,11.7,84.3,Rejected
Elizabeth Sloan,36-45,Middle Eastern,9.1,93.8,Accepted
Kim Arellano,46-55,East Asian,11.3,70.3,Rejected
Carla Morgan,26-35,East Asian,7.2,89.8,Accepted
Jennifer Gonzalez,26-35,Hispanic,8.7,85.4,Rejected
Raymond Rangel,46-55,South Asian,15.3,71.7,Rejected
Tara Myers,36-45,African American,2.8,83.8,Rejected
Ann Robinson,26-35,Hispanic,19.2,79.3,Rejected
Thomas Frederick,36-45,Hispanic,18.5,66.8,Rejected
Cynthia Black,36-45,African American,1.3,82.9,Rejected
Teresa Allen,46-55,African American,11.9,73.6,Rejected
Dr. Cindy Lester MD,36-45,East Asian,1.0,81.9,Accepted
Deborah Roberts,56+,Middle Eastern,7.2,86.1,Rejected
Nicholas Marsh,26-35,South Asian,7.3,67.1,Rejected
Dylan Orr,56+,Hispanic,18.6,94.2,Accepted
Rachel Nguyen,56+,Hispanic,9.2,97.8,Accepted
John Smith,36-45,Middle Eastern,19.6,75.2,Rejected
Brian Miller,46-55,South Asian,9.9,87.7,Accepted
Christopher Peterson,56+,Hispanic,9.4,95.0,Accepted
Mrs. Shawna Mclean,36-45,South Asian,10.3,95.6,Accepted
Jordan Reed,26-35,African American,14.4,85.3,Rejected
Benjamin Price,18-25,Middle Eastern,13.3,87.0,Rejected
Matthew Mcguire,46-55,Middle Eastern,9.4,79.0,Rejected
Elizabeth Hicks,56+,Middle Eastern,9.0,98.0,Accepted
James Houston,46-55,Caucasian,18.8,71.5,Rejected
Michael Nguyen,36-45,Caucasian,12.6,86.8,Accepted
Mark Allen,18-25,Middle Eastern,11.3,83.9,Rejected
Angela Warren,18-25,East Asian,9.2,96.2,Accepted
Barbara Oliver,46-55,East Asian,15.2,87.0,Accepted
Nicholas Harvey,18-25,Middle Eastern,7.8,92.2,Accepted
Lisa Johnson,56+,East Asian,5.8,67.0,Rejected
Eileen Jordan,36-45,South Asian,18.7,96.5,Accepted
Levi Cook,36-45,Caucasian,2.9,98.4,Accepted
Jessica Johnston,26-35,African American,6.8,80.3,Rejected
Judith Garza,56+,African American,13.8,80.9,Rejected
Michael Wood,36-45,East Asian,13.1,80.9,Accepted
Kristy Young,26-35,South Asian,2.5,80.7,Accepted
Natalie Kelly,46-55,Hispanic,12.8,81.1,Rejected
Jeremy Martinez,56+,Hispanic,9.0,67.5,Rejected
Robert Hale,18-25,Caucasian,11.4,73.7,Rejected
Robert Little,56+,Middle Eastern,19.1,67.9,Rejected
Timothy Robinson,36-45,Caucasian,9.7,82.0,Accepted
Charles Hamilton,46-55,South Asian,13.3,82.8,Rejected
Courtney Little,26-35,East Asian,14.5,73.6,Rejected
Christina Thomas,56+,Hispanic,9.8,95.2,Accepted
Donald Stewart,46-55,Middle Eastern,12.3,79.5,Rejected
Ruben Mitchell,46-55,Middle Eastern,6.8,77.7,Rejected
Heather Stein,26-35,South Asian,5.0,79.6,Rejected
Randall Smith,56+,Caucasian,14.2,72.5,Rejected
Daniel Lam,26-35,South Asian,3.8,73.5,Rejected
David Mendoza,26-35,Hispanic,1.5,65.5,Rejected
Jessica Bass,26-35,Caucasian,18.2,71.8,Rejected
Sue Figueroa,36-45,South Asian,3.0,72.4,Rejected
Christopher Combs,46-55,Hispanic,19.7,66.4,Rejected
Troy Thomas,36-45,South Asian,4.2,95.7,Accepted
Karen Allen,36-45,Middle Eastern,17.1,72.3,Rejected
Todd Graham MD,46-55,East Asian,2.5,97.0,Accepted
Michael Robinson,46-55,East Asian,2.9,92.4,Accepted
Mark Rose,26-35,Hispanic,17.2,76.4,Rejected
Karen Daniel,18-25,African American,4.7,75.7,Rejected
Cheryl Irwin,36-45,Hispanic,2.3,91.4,Accepted
Christopher Peterson,26-35,Middle Eastern,3.7,91.8,Accepted
Tommy Adams,18-25,African American,7.7,67.6,Rejected
Sheryl Hill,18-25,East Asian,4.8,75.0,Rejected
Teresa Young,26-35,South Asian,5.6,86.9,Accepted
Caroline Ward,18-25,East Asian,14.6,82.5,Accepted
Noah Gomez,36-45,African American,8.8,92.8,Accepted
Brandon Hernandez,56+,African American,16.4,94.3,Accepted
Arthur Kim,26-35,Caucasian,12.3,90.1,Accepted
Jeremy Hernandez,36-45,Hispanic,11.1,69.1,Rejected
Lisa Kaufman,56+,South Asian,14.2,71.4,Rejected
Christina Allen,26-35,Middle Eastern,18.5,93.1,Accepted
Kathryn Ellis,56+,South Asian,3.8,70.8,Rejected
Amy Stephens,46-55,Caucasian,2.5,87.5,Accepted
Lisa Winters,56+,Caucasian,8.1,82.0,Rejected
Helen Chavez,26-35,Caucasian,7.2,85.9,Accepted
John Hughes,46-55,African American,3.4,82.4,Rejected
Micheal Clark,26-35,East Asian,3.1,87.1,Accepted
Chelsea Tucker,36-45,Middle Eastern,18.7,86.5,Rejected
Maria Goodwin,46-55,East Asian,7.1,79.7,Rejected
Margaret King MD,46-55,Middle Eastern,14.6,94.4,Accepted
Bradley Barajas,46-55,Hispanic,13.1,93.0,Accepted
Manuel Griffin,18-25,Hispanic,8.8,80.1,Rejected
Cody Sanchez,46-55,African American,7.3,93.7,Accepted
Paul Brown,56+,Caucasian,13.9,80.8,Rejected
Adam Smith,56+,African American,16.8,83.2,Rejected
Heather Murphy,18-25,Caucasian,3.5,88.3,Accepted
Michael Murphy,26-35,African American,4.8,94.2,Accepted
Corey Bell,18-25,African American,9.4,93.0,Accepted
Steven Simon,36-45,South Asian,8.5,71.6,Rejected
William Lowe,18-25,Middle Eastern,6.3,84.6,Rejected
Joanna Moore,18-25,African American,12.6,77.2,Rejected
Sarah Martinez,18-25,Hispanic,19.6,85.4,Rejected
Holly Garcia,36-45,Middle Eastern,17.5,90.8,Accepted
Felicia Cabrera,36-45,Middle Eastern,13.1,66.8,Rejected
Michael Calderon,36-45,Middle Eastern,17.3,94.4,Accepted
Douglas Johnson,18-25,East Asian,8.7,81.3,Accepted
Megan Harris,46-55,East Asian,7.7,66.8,Rejected
Alexander Chapman DVM,18-25,African American,18.2,72.8,Rejected
Monica Lee,18-25,East Asian,16.8,97.5,Accepted
Lauren Allen,46-55,African American,14.4,79.4,Rejected
Janet Kelly,56+,South Asian,11.2,89.8,Accepted
Steven Kim,46-55,Middle Eastern,14.3,94.4,Accepted
Carolyn Bishop,26-35,Middle Eastern,10.0,85.2,Rejected
Gregory Rivera,36-45,African American,14.2,87.3,Rejected
Scott Carter,36-45,Caucasian,17.0,85.9,Accepted
Joshua Smith,26-35,South Asian,19.8,71.4,Rejected
Sheri Peters,46-55,South Asian,4.5,92.0,Accepted
David Underwood,36-45,Hispanic,11.5,80.3,Rejected
Patrick Brown,26-35,African American,14.4,83.3,Rejected
Alexis Figueroa,46-55,African American,1.6,96.7,Accepted
Jeremy Rodriguez,56+,South Asian,9.4,94.2,Accepted
Megan Evans,56+,South Asian,1.9,84.6,Accepted
James Brown,56+,Hispanic,14.6,88.6,Rejected
Barbara Williams,26-35,Middle Eastern,19.7,94.0,Accepted
Kim Rasmussen,26-35,Hispanic,8.7,79.4,Rejected
Robert Brown,46-55,South Asian,11.5,79.3,Rejected
